epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7977,0.69432,2.63815,1.2042,0.00333,1,0.19486,0.15262,0.28043,3.11009,0.99656,2e-05,2e-05,2e-05
2,28.9806,0.56861,2.57839,1.14603,0.00333,1,0.4064,0.35688,0.23931,3.07619,0.94037,5.77154e-05,5.77154e-05,5.77154e-05
3,43.0091,0.55513,2.35414,1.10548,0.00333,1,0.67902,0.63233,0.20504,3.02993,0.90818,9.23846e-05,9.23846e-05,9.23846e-05
4,57.0376,0.48696,2.05364,1.06909,0.00333,1,0.9002,0.85957,0.22312,2.97214,0.87718,0.000124008,0.000124008,0.000124008
5,71.0461,0.40759,1.55006,1.00556,0.00333,1,0.94998,0.9237,0.23999,2.83517,0.86553,0.000152585,0.000152585,0.000152585
6,85.041,0.41826,1.31363,1.02021,1,0.33735,0.96737,0.92552,0.32607,2.62425,0.905,0.000178115,0.000178115,0.000178115
7,99.0651,0.61978,1.49541,1.22746,1,0.4774,0.94775,0.87753,0.37075,2.62617,0.95888,0.0002006,0.0002006,0.0002006
8,113.029,0.66428,1.37126,1.25575,1,0.24781,0.94961,0.85675,0.39969,2.81133,1.03395,0.000220038,0.000220038,0.000220038
9,127.268,0.60175,1.17732,1.07866,1,0.49554,0.96323,0.82876,0.43744,2.88537,1.08448,0.000236431,0.000236431,0.000236431
10,142.037,0.64309,1.25337,1.13462,1,0.11427,0.96984,0.83587,0.43332,2.9004,1.06535,0.000249777,0.000249777,0.000249777
11,156.546,0.59474,0.98601,1.06341,1,0.25733,0.97137,0.86566,0.41948,2.85579,1.03626,0.000260077,0.000260077,0.000260077
12,170.725,0.50804,1.07304,1.14644,1,0.51066,0.97353,0.89298,0.41323,2.786,1.00573,0.000267331,0.000267331,0.000267331
13,184.735,0.41035,0.97009,0.97723,1,0.6831,0.99219,0.91792,0.41498,2.60935,0.98428,0.000271538,0.000271538,0.000271538
14,198.827,0.54073,0.89665,1.03595,1,0.88324,0.994,0.90749,0.45653,2.47212,1.02481,0.0002727,0.0002727,0.0002727
15,212.893,0.48802,1.08761,1.05271,1,0.87808,0.993,0.88749,0.44906,2.44221,1.01139,0.000270815,0.000270815,0.000270815
16,226.798,0.49594,0.96036,1.03209,1,0.85633,0.994,0.89221,0.40785,2.45314,0.97513,0.000265885,0.000265885,0.000265885
17,240.841,0.37609,1.46936,0.91806,1,0.79115,0.994,0.93633,0.34567,2.56014,0.93606,0.000257908,0.000257908,0.000257908
18,255.016,0.35643,1.39259,0.93026,1,0.83447,0.994,0.9327,0.36483,2.57935,0.97038,0.000246885,0.000246885,0.000246885
19,269.126,0.2874,1.2212,0.89408,1,0.89101,0.99113,0.90834,0.41845,2.6137,1.05003,0.000232815,0.000232815,0.000232815
20,283.309,0.34782,1.34468,0.93534,0.97222,0.89655,0.98399,0.83657,0.47522,2.62475,1.12492,0.0002157,0.0002157,0.0002157
21,297.26,0.30704,1.26628,0.90534,0.99007,0.93103,0.98251,0.80394,0.50904,2.69372,1.12844,0.000195538,0.000195538,0.000195538
22,311.199,0.30347,1.27844,0.88434,1,0.88111,0.98611,0.82695,0.42639,2.76573,1.02467,0.000172331,0.000172331,0.000172331
23,325.083,0.33458,1.28271,0.87951,1,0.80476,0.99203,0.91673,0.34756,2.75167,0.93777,0.000146077,0.000146077,0.000146077
24,339.044,0.30097,1.2792,0.85098,1,0.86592,0.995,0.96107,0.30054,2.66205,0.8959,0.000116777,0.000116777,0.000116777
25,353.279,0.27551,1.25512,0.85441,1,0.91428,0.995,0.95843,0.28868,2.57661,0.88245,8.44308e-05,8.44308e-05,8.44308e-05
26,367.169,0.25551,1.17647,0.85453,1,0.98682,0.995,0.959,0.27833,2.48045,0.87293,4.90385e-05,4.90385e-05,4.90385e-05
